"Abkhazia","Sukhumi","countryCapital"
"Afghanistan","Kabul","countryCapital"
"Albania","Tirana","countryCapital"
"Algeria","Algiers","countryCapital"
"American Samoa","Pago Pago","countryCapital"
"Andorra","Andorra la Vella","countryCapital"
"Angola","Luanda","countryCapital"
"Antigua and Barbuda","Saint Johns","countryCapital"
"Argentina","Buenos Aires","countryCapital"
"Armenia","Yerevan","countryCapital"
"Aruba","Oranjestad","countryCapital"
"Ascension Island","Georgetown","countryCapital"
"Australia","Canberra","countryCapital"
"Austria","Vienna","countryCapital"
"Azerbaijan","Baku","countryCapital"
"Bahamas","Nassau","countryCapital"
"Bahrain","Manama","countryCapital"
"Bangladesh","Dhaka","countryCapital"
"Barbados","Bridgetown","countryCapital"
"Belarus","Minsk","countryCapital"
"Belgium","Brussels","countryCapital"
"Belize","Belmopan","countryCapital"
"Benin","Porto Novo","countryCapital"
"Bermuda","Hamilton","countryCapital"
"Bhutan","Thimphu","countryCapital"
"Bolivia","Sucre","countryCapital"
"Bolivia","La Paz","countryCapital"
"Bosnia and Herzegovina","Sarajevo","countryCapital"
"Botswana","Gaborone","countryCapital"
"Brazil","Brasília","countryCapital"
"Brunei","Bandar Seri Begawan","countryCapital"
"Bulgaria","Sofia","countryCapital"
"Burkina Faso","Ouagadougou","countryCapital"
"Burundi","Bujumbura","countryCapital"
"Cambodia","Phnom Penh","countryCapital"
"Cameroon","Yaoundé","countryCapital"
"Canada","Ottawa","countryCapital"
"Cape Verde","Praia","countryCapital"
"Cayman Islands","George Town","countryCapital"
"Central African Republic","Bangui","countryCapital"
"Chad","N'Djamena","countryCapital"
"Chile","Santiago","countryCapital"
"China","Beijing","countryCapital"
"Colombia","Bogotá","countryCapital"
"Comoros","Moroni","countryCapital"
"Costa Rica","San José","countryCapital"
"Croatia","Zagreb","countryCapital"
"Cuba","Havana","countryCapital"
"Cyprus","Nicosia","countryCapital"
"Czech Republic","Prague","countryCapital"
"Ivory Coast","Yamoussoukro","countryCapital"
"DR Congo","Kinshasa","countryCapital"
"Denmark","Copenhagen","countryCapital"
"Djibouti","Djibouti","countryCapital"
"Dominica","Roseau","countryCapital"
"Dominican Republic","Santo Domingo","countryCapital"
"East Timor","Dili","countryCapital"
"Ecuador","Quito","countryCapital"
"Egypt","Cairo","countryCapital"
"El Salvador","San Salvador","countryCapital"
"Equatorial Guinea","Malabo","countryCapital"
"Eritrea","Asmara","countryCapital"
"Estonia","Tallinn","countryCapital"
"Ethiopia","Addis Ababa","countryCapital"
"Falkland Islands","Stanley","countryCapital"
"Faroe Islands","Tórshavn","countryCapital"
"Micronesia","Palikir","countryCapital"
"Fiji","Suva","countryCapital"
"Finland","Helsinki","countryCapital"
"France","Paris","countryCapital"
"French Guiana","Cayenne","countryCapital"
"French Polynesia","Papeete","countryCapital"
"Gabon","Libreville","countryCapital"
"Gambia","Banjul","countryCapital"
"Georgia","Tbilisi","countryCapital"
"Germany","Berlin","countryCapital"
"Ghana","Accra","countryCapital"
"Gibraltar","Gibraltar","countryCapital"
"Greece","Athens","countryCapital"
"Greenland","Nuuk","countryCapital"
"Guam","Hagåtña","countryCapital"
"Guatemala","Guatemala City","countryCapital"
"Guinea","Conakry","countryCapital"
"Guinea Bissau","Bissau","countryCapital"
"Guyana","Georgetown","countryCapital"
"Haiti","Port au Prince","countryCapital"
"Honduras","Tegucigalpa","countryCapital"
"Hungary","Budapest","countryCapital"
"Iceland","Reykjavík","countryCapital"
"India","New Delhi","countryCapital"
"Indonesia","Jakarta","countryCapital"
"Iran","Tehran","countryCapital"
"Iraq","Baghdad","countryCapital"
"Ireland","Dublin","countryCapital"
"Isle of Man","Douglas","countryCapital"
"Israel","Jerusalem","countryCapital"
"Italy","Rome","countryCapital"
"Jamaica","Kingston","countryCapital"
"Japan","Tokyo","countryCapital"
"Jersey","Saint Helier","countryCapital"
"Jordan","Amman","countryCapital"
"Kazakhstan","Astana","countryCapital"
"Kenya","Nairobi","countryCapital"
"Kiribati","Tarawa","countryCapital"
"Kosovo","Pristina","countryCapital"
"Kuwait","Kuwait City","countryCapital"
"Kyrgyzstan","Bishkek","countryCapital"
"Laos","Vientiane","countryCapital"
"Latvia","Riga","countryCapital"
"Lebanon","Beirut","countryCapital"
"Lesotho","Maseru","countryCapital"
"Liberia","Monrovia","countryCapital"
"Libya","Tripoli","countryCapital"
"Liechtenstein","Vaduz","countryCapital"
"Lithuania","Vilnius","countryCapital"
"Luxembourg","Luxembourg","countryCapital"
"Macedonia","Skopje","countryCapital"
"Madagascar","Antananarivo","countryCapital"
"Malawi","Lilongwe","countryCapital"
"Malaysia","Kuala Lumpur","countryCapital"
"Maldives","Malé","countryCapital"
"Mali","Bamako","countryCapital"
"Malta","Valletta","countryCapital"
"Marshall Islands","Majuro","countryCapital"
"Mauritania","Nouakchott","countryCapital"
"Mauritius","Port Louis","countryCapital"
"Mexico","Mexico City","countryCapital"
"Moldova","Chisinau","countryCapital"
"Monaco","Monaco","countryCapital"
"Mongolia","Ulaanbaatar","countryCapital"
"Montenegro","Podgorica","countryCapital"
"Montserrat","Plymouth","countryCapital"
"Morocco","Rabat","countryCapital"
"Mozambique","Maputo","countryCapital"
"Myanmar","Naypyidaw","countryCapital"
"Namibia","Windhoek","countryCapital"
"Nauru","Yaren","countryCapital"
"Nepal","Kathmandu","countryCapital"
"Netherlands","Amsterdam","countryCapital"
"New Caledonia","Nouméa","countryCapital"
"New Zealand","Wellington","countryCapital"
"Nicaragua","Managua","countryCapital"
"Niger","Niamey","countryCapital"
"Nigeria","Abuja","countryCapital"
"Norfolk Island","Kingston","countryCapital"
"North Korea","Pyongyang","countryCapital"
"Northern Cyprus","Nicosia","countryCapital"
"Northern Mariana Islands","Saipan","countryCapital"
"Norway","Oslo","countryCapital"
"Oman","Muscat","countryCapital"
"Pakistan","Islamabad","countryCapital"
"Palau","Ngerulmud","countryCapital"
"Palestine","Jerusalem","countryCapital"
